type,sku,art,kollektion,masse,farbe,ean,,,,,,,
variant_child,BLFancy200x80,Kelim,Fancy,200 x 80 cm,Blue,4251469404366,,,,,,,
variant_child,BLFancy300x80,Kelim,Fancy,300 x 80 cm,Blue,4251469404342,,,,,,,
variant_child,BLFancy150R,Kelim,Fancy,150 x 150 cm R,Blue,4251469489950,,,,,,,
variant_child,GDFancy25x25,Kelim,Fancy,25 x 25 cm,Gold,4251469490628,,,,,,,
variant_child,GDFancy140x70,Kelim,Fancy,140 x 70 cm,Gold,4251469404410,,,,,,,
variant_child,GDFancy180x120,Kelim,Fancy,180 x 120 cm,Gold,4251469404458,,,,,,,
variant_child,GDFancy200x140,Kelim,Fancy,200 x 140 cm,Gold,4251469404465,,,,,,,
variant_child,GDFancy240x170,Kelim,Fancy,240 x 170 cm,Gold,4251469404472,,,,,,,
variant_child,GDFancy300x200,Kelim,Fancy,300 x 200 cm,Gold,4251469413252,,,,,,,
variant_child,GDFancy200x80,Kelim,Fancy,200 x 80 cm,Gold,4251469404427,,,,,,,
variant_child,GDFancy300x80,Kelim,Fancy,300 x 80 cm,Gold,4251469404434,,,,,,,
variant_child,GDFancy150R,Kelim,Fancy,150 x 150 cm R,Gold,4251469489967,,,,,,,
variant_child,PURFancy25x25,Kelim,Fancy,25 x 25 cm,Purple,4251469490635,,,,,,,
variant_child,PURFancy140x70,Kelim,Fancy,140 x 70 cm,Purple,4251469404496,,,,,,,
variant_child,PURFancy180x120,Kelim,Fancy,180 x 120 cm,Purple,4251469404533,,,,,,,
variant_child,PURFancy200x140,Kelim,Fancy,200 x 140 cm,Purple,4251469404540,,,,,,,
variant_child,PURFancy240x170,Kelim,Fancy,240 x 170 cm,Purple,4251469404557,,,,,,,
variant_child,PURFancy300x200,Kelim,Fancy,300 x 200 cm,Purple,4251469404489,,,,,,,
variant_child,PURFancy200x80,Kelim,Fancy,200 x 80 cm,Purple,4251469404502,,,,,,,
variant_child,PURFancy300x80,Kelim,Fancy,300 x 80 cm,Purple,4251469404519,,,,,,,
variant_child,PURFancy150x150R,Kelim,Fancy,150 x 150 cm R,Purple,4251469489974,,,,,,,
variant_child,GRFancy25x25,Kelim,Fancy,25 x 25 cm,Green,4251469490642,,,,,,,
variant_child,GRFancy140x70,Kelim,Fancy,140 x 70 cm,Green,4251469404571,,,,,,,
variant_child,GRFancy180x120,Kelim,Fancy,180 x 120 cm,Green,4251469404618,,,,,,,
variant_child,GRFancy200x140,Kelim,Fancy,200 x 140 cm,Green,4251469404625,,,,,,,
variant_child,GRFancy240x170,Kelim,Fancy,240 x 170 cm,Green,4251469404632,,,,,,,
variant_child,GRFancy300x200,Kelim,Fancy,300 x 200 cm,Green,4251469404649,,,,,,,
variant_child,GRFancy200x80,Kelim,Fancy,200 x 80 cm,Green,4251469404588,,,,,,,
variant_child,GRFancy300x80,Kelim,Fancy,300 x 80 cm,Green,4251469404595,,,,,,,
variant_child,GRFancy150R,Kelim,Fancy,150 x 150 cm R,Green,4251469489981,,,,,,,
variant_child,GREYFancy25x25,Kelim,Fancy,25 x 25 cm,Grey,4251469490659,,,,,,,
variant_child,GREYFancy140x70,Kelim,Fancy,140 x 70 cm,Grey,4251469404656,,,,,,,
variant_child,GREYFancy180x120,Kelim,Fancy,180 x 120 cm,Grey,4251469404694,,,,,,,
variant_child,GREYFancy200x140,Kelim,Fancy,200 x 140 cm,Grey,4251469404700,,,,,,,
variant_child,GREYFancy240x170,Kelim,Fancy,240 x 170 cm,Grey,4251469404717,,,,,,,
variant_child,GREYFancy300x200,Kelim,Fancy,300 x 200 cm,Grey,4251469413269,,,,,,,
variant_child,GREYFancy200x80,Kelim,Fancy,200 x 80 cm,Grey,4251469404663,,,,,,,
variant_child,GREYFancy300x80,Kelim,Fancy,300 x 80 cm,Grey,4251469404670,,,,,,,
variant_child,GREYFancy150R,Kelim,Fancy,150 x 150 cm R,Grey,4251469489998,,,,,,,
variant_child,TKFancy25x25,Kelim,Fancy,25 x 25 cm,Turqouise,4251469490666,,,,,,,
variant_child,TKFancy140x70,Kelim,Fancy,140 x 70 cm,Turqouise,4251469404823,,,,,,,
variant_child,TKFancy180x120,Kelim,Fancy,180 x 120 cm,Turqouise,4251469404854,,,,,,,
variant_child,TKFancy200x140,Kelim,Fancy,200 x 140 cm,Turqouise,4251469404861,,,,,,,
variant_child,TKFancy240x170,Kelim,Fancy,240 x 170 cm,Turqouise,4251469404878,,,,,,,
variant_child,TKFancy300x200,Kelim,Fancy,300 x 200 cm,Turqouise,4251469404885,,,,,,,
variant_child,TKFancy200x80,Kelim,Fancy,200 x 80 cm,Turqouise,4251469404830,,,,,,,
variant_child,TKFancy300x80,Kelim,Fancy,300 x 80 cm,Turqouise,4251469404847,,,,,,,
variant_child,TKFancy150R,Kelim,Fancy,150 x 150 cm R,Turqouise,4251469490000,,,,,,,
variant_child,WHFancy25x25,Kelim,Fancy,25 x 25 cm,White,4251469490000,,,,,,,
variant_child,WHFancy140x70,Kelim,Fancy,140 x 70 cm,White,4251469404908,,,,,,,
variant_child,WHFancy180x120,Kelim,Fancy,180 x 120 cm,White,4251469404908,,,,,,,
variant_child,WHFancy200x140,Kelim,Fancy,200 x 140 cm,White,4251469451346,,,,,,,
variant_child,WHFancy240x170,Kelim,Fancy,240 x 170 cm,White,4251469451360,,,,,,,
