type,sku,art,kollektion,masse,farbe,ean,,,,,,,
variant_child,BGFenth400x300,Gabbeh,Fenth,400 x 300 cm,Beige,4251469401983,,,,,,,
variant_child,BGFenth200x80,Gabbeh,Fenth,200 x 80 cm,Beige,4251469401884,,,,,,,
variant_child,BGFenth300x80,Gabbeh,Fenth,300 x 80 cm,Beige,4251469401891,,,,,,,
variant_child,BLFenth25x25,Gabbeh,Fenth,25 x 25 cm,Blue,4251469490734,,,,,,,
variant_child,BLFenth90x60,Gabbeh,Fenth,90 x 60 cm,Blue,4251469451216,,,,,,,
variant_child,BLFenth140x70,Gabbeh,Fenth,140 x 70 cm,Blue,4251469452916,,,,,,,
variant_child,BLFenth200x140,Gabbeh,Fenth,200 x 140 cm,Blue,4251469451674,,,,,,,
variant_child,BLFenth240x170,Gabbeh,Fenth,240 x 170 cm,Blue,4251469402034,,,,,,,
variant_child,BLFenth300x200,Gabbeh,Fenth,300 x 200 cm,Blue,4251469402065,,,,,,,
variant_child,BLFenth300x250,Gabbeh,Fenth,300 x 250 cm,Blue,4251469402072,,,,,,,
variant_child,BLFenth350x250,Gabbeh,Fenth,350 x 250 cm,Blue,4251469452923,,,,,,,
variant_child,BLFenth200x80,Gabbeh,Fenth,200 x 80 cm,Blue,4251469401990,,,,,,,
variant_child,BLFenth300x80,Gabbeh,Fenth,300 x 80 cm,Blue,4251469402003,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
